Journal title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Journal provides download statistics,Download statistics information URL,Journal license
Rivista Italiana di Paleontologia e Stratigrafia,http://riviste.unimi.it/index.php/RIPS/index,,0035-6883,2039-4942,,,CC BY-NC-ND
The journal of the Rutgers University Library.,http://jrul.libraries.rutgers.edu/index.php/jrul/index,,0036-0473,,,,
Salud Pública de México,http://www.scielosp.org/scielo.php?script=sci_serial&pid=0036-3634&lng=en&nr,Public Health of Mexico,0036-3634,,,,
Revista do Instituto de Medicina Tropical de São Paulo,http://www.scielo.br/rimtsp,,0036-4665,1678-9946,,,CC BY-NC
Scientia Pharmaceutica,http://www.scipharm.at/default.asp?id=68&lid=2,,0036-8709,2218-0532,,,CC BY
Sefarad : Revista de Estudios Hebraicos y Sefardíes,http://sefarad.revistas.csic.es,,0037-0894,1988-320X,,,CC BY-NC
Revista da Sociedade Brasileira de Medicina Tropical,http://www.scielo.br/scielo.php/script_sci_serial/pid_0037-8682/lng_pt/nrm_iso,Jornal Brasileiro de Medicina Tropical,0037-8682,1678-9849,,,CC BY-NC
Boletim da Sociedade Paranaense de Matemática,http://www.spm.uem.br/_bspm/ingles.php,,0037-8712,2175-1188,,,
Sociologija,http://www.doiserbia.nb.rs/journal.aspx?issn=0038-0318,,0038-0318,,,,
South African Journal of Science,http://www.sajs.co.za/,Suid-Afrikaanse Joernaal van Wetenskap,0038-2353,1996-7489,,,CC BY
Stanovništvo,http://www.doiserbia.nb.rs/journal.aspx?issn=0038-982X,,0038-982X,2217-3986,,,
Studies In African Linguistics,http://journals.linguisticsociety.org/elanguage/sal/index.html,,0039-3533,2154-428X,,,
Taal en Tongval: Language Variation in the Low Countries,http://www.taalentongval.eu/,,0039-8691,2215-1214,,,CC BY-NC-ND
Revista de la Universidad del Zulia ,http://produccioncientificaluz.org/index.php/rluz,,0041-8811,,,,CC BY-NC-ND
Universidades,http://www.redalyc.org/revista.oa?id=373,,0041-8935,,,,
University of Pittsburgh Law Review,http://lawreview.law.pitt.edu,,0041-9915,1942-8405,,,CC BY-NC-ND
Veritas,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas,Verita: Revista trimestral de filosofia da PUCRS,0042-3955,1984-6746,,,CC BY
Journal of Hydrology and Hydromechanics,http://www.degruyter.com/view/j/johh,Vodohospodársky Časopis,0042-790X,,,,CC BY-NC-ND
Vojnosanitetski Pregled,http://www.doiserbia.nb.rs/journal.aspx?issn=0042-8450,,0042-8450,,,,
Vojnotehnički Glasnik,http://www.vtg.mod.gov.rs/index-e.html,Military Technical Courier,0042-8469,2217-4753,,http://aseestant.ceon.rs/index.php/vtg/issue/archive,CC BY
Acta Amazonica,http://www.scielo.br/scielo.php/script_sci_serial/pid_0044-5967/lng_en/nrm_iso/lng_en,,0044-5967,,,,CC BY-NC
Acta Medica Iranica,http://acta.tums.ac.ir/,,0044-6025,1735-9694,Yes,http://acta.tums.ac.ir/index.php/acta/article/view/5964,CC BY-NC
Archivum Mathematicum,http://www.maths.soton.ac.uk/EMIS/journals/AM/,,0044-8753,1212-5059,,,
Revista Ciência Agronômica ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1806-6690&lng=en&nrm=iso,,0045-6888,1806-6690,,,
Heron,http://heron.tudelft.nl/index.html,,0046-7316,1574-4078,,,
Jornal Brasileiro de Psiquiatria,http://www.scielo.br/scielo.php/script_sci_serial/pid_0047-2085/lng_en/nrm_iso,,0047-2085,1982-0208,,,CC BY-NC
New Zealand Journal of Forestry Science,http://www.nzjforestryscience.com/,NZJFS,0048-0134,1179-5395,,,CC BY
Pakistan Heart Journal,http://www.pkheartjournal.com,,0048-2706,2227-9199,,,CC BY
Psihologija,http://www.doiserbia.nb.rs/Journal.aspx?ISSN=0048-5705,,0048-5705,1451-9283,,,
Reumatismo,http://www.reumatismo.org,,0048-7449,2240-2683,,,CC BY-NC
The Review of Regional Studies,http://journal.srsa.org/ojs/index.php/RRS/index,,0048-749X,1553-0892,,,CC BY-NC-ND
Revista Argentina de Radiología ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-9992&lng=es&nrm=iso,RAR : Argentine Journal of Radiology,0048-7619,1852-9992,,,
Revista Chilena de Literatura,http://www.revistaliteratura.uchile.cl/,,0048-7651,0718-2295,,,CC BY-NC-ND
Tamkang Journal of Mathematics,http://journals.math.tku.edu.tw/,,0049-2930,2073-9826,,,
Teología y Vida,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0049-3449&lng=en&nrm=iso,,0049-3449,0717-6295,,,
Acta Agrobotanica,https://pbsociety.org.pl/journals/index.php/aa/index,,0065-0951,2300-357X,,,CC BY
Acta Baltico-Slavica,https://ispan.waw.pl/journals/index.php/abs/index,,0065-1044,2392-2389,,,CC BY
Acta Neurobiologiae Experimentalis,http://www.ane.pl/,,0065-1400,1689-0035,,,
Acta Protozoologica,http://www.eko.uj.edu.pl/ap/,,0065-1583,1689-0027,,,
Anuario de Estudios Medievales,http://estudiosmedievales.revistas.csic.es,,0066-5061,1988-4230,,,CC BY-NC
Archivo Español de Arqueología,http://aespa.revistas.csic.es/,,0066-6742,1988-3110,,,CC BY-NC
Arheologia Moldovei,http://www.arheo.ro/arheologia-moldovei,Arheologia Moldovei,0066-7358,,,,CC BY-NC-ND
Arquivos Brasileiros de Cardiologia,http://www.scielo.br/abc,,0066-782X,1678-4170,,,CC BY-NC
Boletim de Indústria Animal,http://revistas.bvs-vet.org.br/bia,,0067-9615,1981-4100,,,CC BY-NC
Boletín de Filología ,http://www.boletinfilologia.uchile.cl/,Boletin de Filologia ,0067-9674,0718-9303,,,
Erhvervshistorisk Årbog,http://ojs.statsbiblioteket.dk/index.php/eaa/index,,0071-1152,,,,
Folia Forestalia Polonica: Series A - Forestry,http://www.degruyter.com/view/j/ffp,,0071-6677,2199-5907,,,CC BY-NC-ND
Historia (Santiago),http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-7194&lng=en&nrm=iso,,0073-2435,0717-7194,,,
Iheringia. Série Zoologia,http://www.scielo.br/isz,,0073-4721,1678-4766,,,CC BY-NC
Memórias do Instituto Oswaldo Cruz.,http://www.scielo.br/scielo.php?pid=0074-0276&script=sci_serial,An International Journal of Biological and Biomedical Research,0074-0276,1678-8060,,,CC BY-NC
The Iraqi Journal of Agricultural science,http://jcoagri.uobaghdad.edu.iq/,مجلة العلوم الزراعية العراقية,0075-0530,2410-0862,,,CC BY
Koedoe : African Protected Area Conservation and Science,http://www.koedoe.co.za,,0075-6458,2071-0771,,,CC BY
Mélanges CRAPEL,http://www.atilf.fr/spip.php?rubrique217,,0077-2712,,,,
Oceanologia,http://www.iopan.gda.pl/oceanologia/oceanolo-pl.html,,0078-3234,,,,
RAUSP : Revista de Administração da Universidade de São Paulo,http://www.scielo.br/scielo.php?script=sci_serial&pid=0080-2107&lng=en&nrm=iso,,0080-2107,1984-6142,,,CC BY
Revista da Escola de Enfermagem da USP,http://www.scielo.br/scielo.php?script=sci_serial&pid=0080-6234&lng=en&nrm=iso,,0080-6234,1980-220X,,,CC BY-NC
Studia Anglica Posnaniensia,http://www.degruyter.com/view/j/stap,,0081-6272,2082-5102,,,CC BY-NC-ND
Studia z Filologii Polskiej i Słowiańskiej,https://ispan.waw.pl/journals/index.php/sfps/index,,0081-7090,2392-2435,,,CC BY
Trabajos de Prehistoria,http://tp.revistas.csic.es,,0082-5638,1988-3218,,,CC BY-NC
Revista Brasileira de Entomologia,http://www.scielo.br/scielo.php?script=sci_serial&pid=0085-5626&lng=en&nrm=iso,,0085-5626,1806-9665,,,CC BY-NC
Environmental Health Perspectives,http://ehp.niehs.nih.gov/,EHP online,0091-6765,,,,
Monthly Labor Review,http://www.bls.gov/opub/mlr/mlrhome.htm,,0098-1818,,,,
Revista Brasileira de Ciência do Solo,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-0683/lng_en/nrm_iso,,0100-0683,1806-9657,,,CC BY-NC
Cadernos de Pesquisa,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-1574/lng_en/nrm_iso,CP,0100-1574,,,,CC BY-NC
Pesquisa Agropecuária Brasileira,http://www.scielo.br/scielo.php?pid=0100-204X&script=sci_serial,,0100-204X,1678-3921,,,CC BY-NC
Revista Brasileira de Fruticultura,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-2945/lng_pt/nrm_iso,,0100-2945,1806-9967,,,CC BY-NC
Revista Caatinga,http://periodicos.ufersa.edu.br/revistas/index.php/sistema,,0100-316X,1983-2125,,,
Revista do Instituto de Latícinios Cândido Tostes,http://www.revistadoilct.com.br/rilct/index,Journal of Candido Tostes Dairy Institute,0100-3674,2238-6416,,http://www.revistadoilct.com.br/rilct/manager/statistics,CC BY
Radiologia Brasileira,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-3984/lng_en/nrm_iso,,0100-3984,1678-7099,,,CC BY-NC
Química Nova,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-4042/lng_en/nrm_iso,,0100-4042,1678-7064,,,CC BY-NC
Kriterion,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-512X/lng_en/nrm_iso,,0100-512X,,,,CC BY-NC
Summa Phytopathologica,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-5405/lng_en/nrm_iso,,0100-5405,,,,CC BY-NC
Manuscrito,http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-6045&lng=en&nrm=iso,,0100-6045,2317-630X,Yes,http://www.scielo.br/statjournal.php?lang=en&issn=0100-6045,CC BY
Revista Árvore,http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-6762&lng=en&nrm=iso,,0100-6762,1806-9088,,,CC BY-NC
Engenharia Agrícola,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-6916/lng_en/nrm_iso,,0100-6916,,,,CC BY-NC
Revista do Colégio Brasileiro de Cirurgiões,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-6991/lng_en/nrm_iso,,0100-6991,1809-4546,,,CC BY-NC
Revista Brasileira de Ginecologia e Obstetrícia,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-7203/lng_pt/nrm_iso,Revista da Federação Brasileira das Sociedades de Ginecologia e Obstetrícia,0100-7203,,,,CC BY-NC
Pesquisa Veterinária Brasileira,http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-736X/lng_pt/nrm_iso,Brazilian Journal of Veterinary Research,0100-736X,1678-5150,,,CC BY-NC
Planta Daninha,http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-8358&nrm=iso&lng=en,,0100-8358,,,,CC BY-NC
Religião e Sociedade,http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-8587&lng=en&nrm=iso,,0100-8587,1984-0438,,,CC BY-NC
Arquivos Brasileiros de Psicologia ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1809-5267&nrm=iso&rep=&lng=pt,,0100-8692,1809-5267,Yes,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1809-5267&lng=pt&nrm=iso,CC BY-NC
Brazilian Journal of Medical and Biological Research,http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-879X&lng=en&nrm=iso,,0100-879X,1414-431X,,,CC BY-NC
Signo,http://online.unisc.br/seer/index.php/signo/index,,0101-1812,1982-2014,,,
Ciência e Tecnologia de Alimentos,http://www.scielo.br/cta,,0101-2061,1678-457X,,,CC BY-NC
Jornal Brasileiro de Nefrologia ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-2800&lng=en&nrm=iso,Brazilian Journal of Nephrology,0101-2800,2175-8239,,,CC BY-NC
Estudos Teológicos,http://www.est.edu.br/periodicos/index.php/estudos_teologicos,,0101-3130,2237-6461,,,CC BY-NC-ND
Revista de Economia Política,http://www.scielo.br/scielo.php/script_sci_serial/pid_0101-3157/lng_en/nrm_iso,,0101-3157,1809-4538,,,CC BY-NC
